Date,Confidence Bin,Tips,Wins,Win %,Places,Place %,Win PnL,EW PnL (5.0+),Win ROI %,EW ROI %,Win Profit £,EW Profit £
2025-05-19,0.70–0.80,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-40.7,9.2
2025-05-19,0.80–0.90,6,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-40.7,65.0
2025-05-19,0.90–1.00,23,1,8.695652173913043,2,4.3478260869565215,39.2,36.0,17.04,15.65,-40.7,27.0
2025-05-20,0.50–0.60,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-20,0.60–0.70,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-20,0.70–0.80,2,0,0.0,1,50.0,-2.0,-1.0,-100.0,-50.0,-20.0,-10.0
2025-05-20,0.80–0.90,4,0,0.0,1,25.0,-4.0,-2.42,-100.0,-60.5,-40.0,-24.2
2025-05-20,0.90–1.00,19,5,26.32,9,47.37,9.07,23.27,47.74,122.47,90.7,232.7
2025-05-20,0.99–1.01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21,0.70–0.80,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,212.6,13.0
2025-05-21,0.80–0.90,8,0,12.5,1,0.0,0.1,0.0,0.13,0.0,212.6,24.0
2025-05-21,0.90–1.00,27,1,7.4074074074074066,2,3.7037037037037033,29.6,28.0,10.96,10.37,212.6,34.0
2025-05-23,0.50–0.60,2,0,0.0,0,0.0,-2.0,-2.0,-100.0,-100.0,-20.0,-20.0
2025-05-23,0.60–0.70,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23,0.70–0.80,1,0,0.0,0,0.0,-1.0,-1.0,-100.0,-100.0,-10.0,-10.0
2025-05-23,0.80–0.90,3,0,0.0,1,33.33,-3.0,-0.65,-100.0,-21.67,-30.0,-6.5
2025-05-23,0.90–1.00,6,3,50.0,3,50.0,3.3,-3.0,55.0,-50.0,33.0,-30.0
2025-05-23,0.99–1.01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
