Date,Race Time,Course,Horse,Odds,Confidence,Position,Mode,Stake,Profit
2025-05-31,1:13,haydock,galyx,24.0,0.9895221590995789,7,advised,1.0,0.0
2025-05-31,1:48,haydock,sergeant wilko,18.0,0.9229556322097778,4,advised,1.0,0.0
2025-05-31,2:05,york,auspicious,26.0,0.8803306221961975,10,advised,1.0,0.0
2025-05-31,2:23,haydock,leovanni,9.0,0.9966644644737244,4,advised,1.0,0.0
2025-05-31,2:40,york,spirit of applause,17.0,0.9951791763305664,9,advised,1.0,0.0
2025-05-31,2:45,chester,come on over,3.65,0.9544497132301331,5,advised,1.0,-1.0
2025-05-31,2:58,haydock,beautiful love,8.0,0.9847760796546936,4,advised,1.0,0.0
2025-05-31,3:15,york,divina grace,29.0,0.9767816066741943,6,advised,1.0,0.0
2025-05-31,3:33,haydock,tiger bay,28.0,0.9896079897880554,9,advised,1.0,0.0
2025-05-31,3:50,york,coul angel,9.4,0.8710347414016724,7,advised,1.0,0.0
2025-05-31,4:08,haydock,ahlain,7.6,0.8338882327079773,7,advised,1.0,0.0
2025-05-31,4:13,listowel,chefs kiss,9.8,0.9088449478149414,NR,advised,1.0,0.0
2025-05-31,5:00,york,flying fletcher,12.5,0.9167054891586304,20,advised,1.0,0.0
